,EM (%),Relaxed Num (%),# Numeric,# Valid
SmolVLM-Instruct-qlora-tuned,57.58,67.58,1780.0,1794.0
SmolVLM-Instruct-lora-tuned,54.35,63.61,1800.0,1840.0
SmolVLM-500M-Instruct-qlora-tuned,45.39,54.69,1494.0,1507.0
SmolVLM-500M-Instruct-lora-tuned,42.44,51.59,1506.0,1522.0
SmolVLM-Instruct-qlora-Original,41.84,50.24,1027.0,1030.0
SmolVLM-Instruct-lora-Original,41.84,50.24,1027.0,1030.0
SmolVLM-Instruct-full-Original,41.84,50.24,1027.0,1030.0
SmolVLM-500M-Instruct-full-Original,37.07,45.74,1045.0,1052.0
SmolVLM-500M-Instruct-qlora-Original,37.07,45.74,1045.0,1052.0
SmolVLM-500M-Instruct-lora-Original,37.07,45.74,1045.0,1052.0
SmolVLM-256M-Instruct-lora-tuned,26.01,31.8,761.0,819.0
SmolVLM-256M-Instruct-lora-tuned-attention-head-only,25.44,32.23,695.0,747.0
SmolVLM-256M-Instruct-qlora-tuned,24.86,30.18,825.0,881.0
SmolVLM-256M-Instruct-lora-tuned-lora-alpha-16,23.91,31.57,795.0,845.0
SmolVLM-256M-Instruct-lora-tuned-lora_R_16-lora_alpha_16-device_batch_8-lr_2e4-attention_head_only,22.53,29.08,650.0,679.0
SmolVLM-Instruct-full-tuned,19.68,29.39,1875.0,1977.0
SmolVLM-256M-Instruct-lora-Original,15.51,22.53,608.0,619.0
SmolVLM-256M-Instruct-lora-tuned-lora-alpha-Original,15.51,22.53,608.0,619.0
SmolVLM-256M-Instruct-full-Original,15.51,22.53,608.0,619.0
SmolVLM-256M-Instruct-qlora-Original,15.51,22.53,608.0,619.0
SmolVLM-500M-Instruct-full-tuned,15.37,26.47,1870.0,1972.0
SmolVLM-256M-Instruct-full-tuned,14.35,25.03,1878.0,1979.0
SmolVLM-Base-full-tuned,8.31,18.42,1862.0,1962.0
SmolVLM-Base-qlora-tuned,7.85,17.13,1763.0,1861.0
SmolVLM-Base-lora-tuned,7.18,15.6,1821.0,1923.0
SmolVLM-256M-Base-lora-tuned,4.47,5.26,342.0,358.0
SmolVLM-256M-Base-full-Original,3.71,6.84,1096.0,1133.0
SmolVLM-256M-Base-lora-Original,3.71,6.84,1096.0,1133.0
SmolVLM-256M-Base-qlora-Original,3.71,6.84,1096.0,1133.0
SmolVLM-256M-Base-qlora-tuned,3.44,6.27,335.0,349.0
SmolVLM-Base-lora-Original,0.51,1.56,192.0,195.0
SmolVLM-Base-full-Original,0.51,1.56,192.0,195.0
SmolVLM-Base-qlora-Original,0.51,1.56,192.0,195.0
SmolVLM-256M-Base-full-tuned,0.27,1.09,368.0,370.0
SmolVLM-500M-Base-lora-Original,0.0,0.0,4.0,4.0
SmolVLM-500M-Base-lora-tuned,0.0,0.0,130.0,145.0
SmolVLM-500M-Base-full-Original,0.0,0.0,4.0,4.0
SmolVLM-500M-Base-full-tuned,0.0,0.0,45.0,45.0
SmolVLM-500M-Base-qlora-Original,0.0,0.0,4.0,4.0
SmolVLM-500M-Base-qlora-tuned,0.0,0.3,334.0,345.0
